"Name"	"Count"	"Path"	"Length"	"LastWriteTime"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-47/index.html"	"658"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-48/index.html"	"658"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-49/index.html"	"658"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-5/index.html"	"655"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-50/index.html"	"658"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-51/index.html"	"658"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-52/index.html"	"658"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-53/index.html"	"658"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-54/index.html"	"658"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-6/index.html"	"655"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-7/index.html"	"655"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-8/index.html"	"655"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/pages/משוואות/עמוד-9/index.html"	"655"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/preview/index.html"	"47572"	"04/07/2026 23:49:54"
"index.html"	"66"	"sources/legacy/parabula-old/site/index.html"	"15494"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/page.tsx"	"2036"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/automations/page.tsx"	"234"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/data-sources/page.tsx"	"215"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/devices/page.tsx"	"237"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/diagnostics/page.tsx"	"236"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/github/page.tsx"	"217"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/google/page.tsx"	"216"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/logs/page.tsx"	"217"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/microsoft/page.tsx"	"200"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/n8n/page.tsx"	"210"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/openai/page.tsx"	"221"	"04/07/2026 23:49:54"
"page.tsx"	"12"	"app/settings/page.tsx"	"219"	"04/07/2026 23:49:54"
"PROJECT_RULES.md"	"9"	"PROJECT_RULES.md"	"26821"	"04/07/2026 23:49:54"
"PROJECT_RULES.md"	"9"	"meta/backup/equations_cleanup_20260415_064704/PROJECT_RULES.md"	"11526"	"04/07/2026 23:49:54"
"PROJECT_RULES.md"	"9"	"meta/backup/mobile_hardening_20260415_075546/PROJECT_RULES.md"	"11892"	"04/07/2026 23:49:54"
"PROJECT_RULES.md"	"9"	"meta/backup/preview_polish_20260415_080746/PROJECT_RULES.md"	"12256"	"04/07/2026 23:49:54"
"PROJECT_RULES.md"	"9"	"sources/backups/pre-promotion-20260319-073821/PROJECT_RULES.md"	"2079"	"04/07/2026 23:49:54"
"PROJECT_RULES.md"	"9"	"sources/backups/pre-promotion-20260319-074035/PROJECT_RULES.md"	"11098"	"04/07/2026 23:49:54"
"PROJECT_RULES.md"	"9"	"sources/legacy/parabula-old/PROJECT_RULES.md"	"11098"	"04/07/2026 23:49:54"
"PROJECT_RULES.md"	"9"	"STATE/backup_20260416_231132/PROJECT_RULES.md"	"14716"	"04/07/2026 23:49:54"
"PROJECT_RULES.md"	"9"	"STATE/backup_20260416_231444/PROJECT_RULES.md"	"14716"	"04/07/2026 23:49:54"
"עמוד-1.html"	"8"	"עמוד-1.html"	"7273"	"04/07/2026 23:49:55"
"עמוד-1.html"	"8"	"docs/עמוד-1.html"	"7273"	"04/07/2026 23:49:54"
"עמוד-1.html"	"8"	"sources/backups/pre-promotion-20260319-073821/עמוד-1.html"	"803"	"04/07/2026 23:49:54"
"עמוד-1.html"	"8"	"sources/backups/pre-promotion-20260319-074035/עמוד-1.html"	"7273"	"04/07/2026 23:49:54"
"עמוד-1.html"	"8"	"sources/legacy/parabula-old/עמוד-1.html"	"7273"	"04/07/2026 23:49:54"
"עמוד-1.html"	"8"	"sources/legacy/parabula-old/site/עמוד-1.html"	"7273"	"04/07/2026 23:49:54"
"עמוד-1.html"	"8"	"sources/legacy/parabula-old/site/גרף-עולה-יורד-קבוע/עמוד-1.html"	"5995"	"04/07/2026 23:49:54"
"עמוד-1.html"	"8"	"sources/legacy/parabula-old/site/משוואות/עמוד-1.html"	"736"	"04/07/2026 23:49:54"
"mobile-app.js"	"7"	"mobile-app.js"	"11154"	"04/07/2026 23:49:54"
"mobile-app.js"	"7"	"docs/mobile-app.js"	"9869"	"04/07/2026 23:49:54"
"mobile-app.js"	"7"	"preview/mobile-app.js"	"9794"	"04/07/2026 23:49:54"
"mobile-app.js"	"7"	"STATE/a4fit_backup_20260417_003550/mobile-app.js"	"10183"	"04/07/2026 23:49:54"
"mobile-app.js"	"7"	"STATE/backup_20260416_231132/mobile-app.js"	"9869"	"04/07/2026 23:49:54"
"mobile-app.js"	"7"	"STATE/mobile_release_backups_20260416231848/mobile-app.js"	"9869"	"04/07/2026 23:49:54"
"mobile-app.js"	"7"	"STATE/release_backup_20260416234242/mobile-app.js"	"10175"	"04/07/2026 23:49:54"
"עמוד-3.html"	"7"	"עמוד-3.html"	"6695"	"04/07/2026 23:49:55"
"עמוד-3.html"	"7"	"docs/עמוד-3.html"	"6695"	"04/07/2026 23:49:54"
"עמוד-3.html"	"7"	"sources/backups/pre-promotion-20260319-074035/עמוד-3.html"	"6695"	"04/07/2026 23:49:54"
"עמוד-3.html"	"7"	"sources/legacy/parabula-old/עמוד-3.html"	"6695"	"04/07/2026 23:49:54"
"עמוד-3.html"	"7"	"sources/legacy/parabula-old/site/עמוד-3.html"	"6695"	"04/07/2026 23:49:54"
"עמוד-3.html"	"7"	"sources/legacy/parabula-old/site/גרף-עולה-יורד-קבוע/עמוד-3.html"	"11247"	"04/07/2026 23:49:54"
"עמוד-3.html"	"7"	"sources/legacy/parabula-old/site/משוואות/עמוד-3.html"	"736"	"04/07/2026 23:49:54"
"mobile-app.css"	"7"	"mobile-app.css"	"4050"	"04/07/2026 23:49:54"
"mobile-app.css"	"7"	"docs/mobile-app.css"	"4656"	"04/07/2026 23:49:54"
"mobile-app.css"	"7"	"preview/mobile-app.css"	"7333"	"04/07/2026 23:49:54"
"mobile-app.css"	"7"	"STATE/a4fit_backup_20260417_003550/mobile-app.css"	"4656"	"04/07/2026 23:49:54"
"mobile-app.css"	"7"	"STATE/backup_20260416_231132/mobile-app.css"	"4656"	"04/07/2026 23:49:54"
"mobile-app.css"	"7"	"STATE/mobile_release_backups_20260416231848/mobile-app.css"	"4656"	"04/07/2026 23:49:54"
"mobile-app.css"	"7"	"STATE/release_backup_20260416234242/mobile-app.css"	"4656"	"04/07/2026 23:49:54"
"עמוד-2.html"	"7"	"עמוד-2.html"	"10519"	"04/07/2026 23:49:55"
"עמוד-2.html"	"7"	"docs/עמוד-2.html"	"10519"	"04/07/2026 23:49:54"
"עמוד-2.html"	"7"	"sources/backups/pre-promotion-20260319-074035/עמוד-2.html"	"10519"	"04/07/2026 23:49:54"
"עמוד-2.html"	"7"	"sources/legacy/parabula-old/עמוד-2.html"	"10519"	"04/07/2026 23:49:54"
"עמוד-2.html"	"7"	"sources/legacy/parabula-old/site/עמוד-2.html"	"10519"	"04/07/2026 23:49:54"
"עמוד-2.html"	"7"	"sources/legacy/parabula-old/site/גרף-עולה-יורד-קבוע/עמוד-2.html"	"6016"	"04/07/2026 23:49:54"
"עמוד-2.html"	"7"	"sources/legacy/parabula-old/site/משוואות/עמוד-2.html"	"736"	"04/07/2026 23:49:54"
"עמוד-65.css"	"6"	"docs/styles/pages/עמוד-65.css"	"1243"	"04/07/2026 23:49:54"
"עמוד-65.css"	"6"	"meta/backup/equations_cleanup_20260415_064704/styles/pages/עמוד-65.css"	"388"	"04/07/2026 23:49:54"
"עמוד-65.css"	"6"	"sources/backups/pre-promotion-20260319-074035/styles/pages/עמוד-65.css"	"263"	"04/07/2026 23:49:54"
"עמוד-65.css"	"6"	"sources/legacy/parabula-old/site/styles/pages/עמוד-65.css"	"263"	"04/07/2026 23:49:54"
"עמוד-65.css"	"6"	"sources/legacy/parabula-old/styles/pages/עמוד-65.css"	"263"	"04/07/2026 23:49:54"
"עמוד-65.css"	"6"	"styles/pages/עמוד-65.css"	"1702"	"04/07/2026 23:49:55"
"עמוד-66.css"	"6"	"docs/styles/pages/עמוד-66.css"	"1243"	"04/07/2026 23:49:54"
"עמוד-66.css"	"6"	"meta/backup/equations_cleanup_20260415_064704/styles/pages/עמוד-66.css"	"388"	"04/07/2026 23:49:54"
"עמוד-66.css"	"6"	"sources/backups/pre-promotion-20260319-074035/styles/pages/עמוד-66.css"	"263"	"04/07/2026 23:49:54"
"עמוד-66.css"	"6"	"sources/legacy/parabula-old/site/styles/pages/עמוד-66.css"	"263"	"04/07/2026 23:49:54"
"עמוד-66.css"	"6"	"sources/legacy/parabula-old/styles/pages/עמוד-66.css"	"263"	"04/07/2026 23:49:54"
"עמוד-66.css"	"6"	"styles/pages/עמוד-66.css"	"1702"	"04/07/2026 23:49:55"
"עמוד-67.css"	"6"	"docs/styles/pages/עמוד-67.css"	"1243"	"04/07/2026 23:49:54"
"עמוד-67.css"	"6"	"meta/backup/equations_cleanup_20260415_064704/styles/pages/עמוד-67.css"	"388"	"04/07/2026 23:49:54"
"עמוד-67.css"	"6"	"sources/backups/pre-promotion-20260319-074035/styles/pages/עמוד-67.css"	"263"	"04/07/2026 23:49:54"
"עמוד-67.css"	"6"	"sources/legacy/parabula-old/site/styles/pages/עמוד-67.css"	"263"	"04/07/2026 23:49:54"
